City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,le port,-20.9373,55.2919,298.13,93,21,3.28,RE,1681949436
331,shalkar,47.8288,59.6258,281.53,37,81,3.28,KZ,1681949437
332,tsiombe,-25.3,45.4833,294.83,95,74,3.14,MG,1681949438
333,sars,56.5502,57.1366,275.24,87,93,1.5,RU,1681949438
334,dryden,49.7833,-92.7503,278.31,30,75,6.17,CA,1681948815
335,ceres,37.5949,-120.9577,292.42,36,0,5.14,US,1681949439
336,inarajan village,13.2736,144.7484,302.59,73,75,8.21,GU,1681949440
337,ust-nera,64.5667,143.2,265.94,88,100,3.9,RU,1681948987
338,gadzhiyevo,69.2551,33.3362,276.21,91,100,9.47,RU,1681949441
339,severo-yeniseyskiy,60.3725,93.0408,259.44,96,96,1.74,RU,1681949441
340,new norfolk,-42.7826,147.0587,288.1,82,100,0.45,AU,1681949032
341,east london,-33.0153,27.9116,300.39,28,52,4.67,ZA,1681949055
342,lib,8.3122,167.3766,300.71,80,71,6.79,MH,1681949443
343,santa ana de yacuma,-13.75,-65.4333,296.61,96,100,4.15,BO,1681949443
344,demba,-5.51,22.2667,293.52,98,70,1.24,CD,1681949444
345,burnie,-41.0667,145.9167,288.12,87,96,5.43,AU,1681949444
346,roma,43.2128,-75.4557,276.94,66,0,3.09,US,1681949167
347,broome,42.2506,-75.833,281.36,63,0,3.6,US,1681949446
348,happy valley-goose bay,53.3168,-60.3315,278.32,70,75,4.63,CA,1681949446
349,maputo,-25.9653,32.5892,292.72,89,0,1.34,MZ,1681949447
350,pimentel,-6.8367,-79.9342,299.31,69,0,5.66,PE,1681949447
351,gilgit,35.9221,74.3087,283.96,84,95,1.05,PK,1681949448
352,teotitlan,18.1319,-97.0767,301.39,52,80,3.89,MX,1681949448
353,abepura,-2.6333,140.5833,298.6,83,40,1.03,ID,1681949449
354,lospalos,-8.5186,127.0025,297.49,74,52,4.22,TL,1681949449
355,mus,39.0,41.75,281.69,84,95,0.57,TR,1681949450
356,pokrovka,42.3414,78.0056,274.77,50,100,2.44,KG,1681949451
